domain_1	domain_2
PF00569	PF18346
PF00595	PF03145
PF00567	PF07686
PF01195	PF01195
PF00932	PF00932
PF05229	PF05229
PF00994	PF03454
PF08843	PF08843
PF01158	PF04427
PF00411	PF01283
PF02783	PF02783
PF01480	PF01480
PF00571	PF16561
PF00890	PF13085
PF00072	PF00072
PF00433	PF00757
PF07304	PF07304
PF07732	PF13473
PF01125	PF16131
PF01024	PF01024
PF01618	PF01618
PF18459	PF18464
PF16417	PF16418
PF01421	PF01421
PF00209	PF00209
PF05345	PF10632
PF03198	PF04438
PF02179	PF02179
PF00755	PF01215
PF08443	PF18030
PF07238	PF07317
PF00782	PF12796
PF14631	PF14674
PF03264	PF03264
PF00989	PF08447
PF02002	PF02186
PF00400	PF16004
PF14479	PF14479
PF03932	PF03932
PF13604	PF14490
PF13654	PF13654
PF00069	PF09041
PF18691	PF18691
PF07739	PF07739
PF00179	PF18773
PF02342	PF02342
PF00540	PF00665
PF00271	PF02732
PF00400	PF01283
PF11423	PF11423
PF00071	PF01546
PF01233	PF02799
PF00018	PF02383
PF02313	PF13183
PF01084	PF01165
PF12919	PF12919
PF02022	PF05367
PF00153	PF07686
PF00562	PF04997
PF02123	PF05087
PF00069	PF00619
PF00754	PF01120
PF01558	PF01558
PF00785	PF00989
PF00036	PF03372
PF05511	PF05873
PF13855	PF18212
PF13414	PF13424
PF15508	PF15508
PF00271	PF02184
PF16834	PF16836
PF03759	PF03759
PF04851	PF13588
PF00090	PF01421
PF00578	PF17991
PF01634	PF13393
PF00581	PF00581
PF04678	PF07686
PF05213	PF05213
PF00271	PF00344
PF00005	PF17755
PF08021	PF08021
PF04466	PF17288
PF00076	PF16131
PF13202	PF13833
PF00150	PF02839
PF00854	PF07686
PF00591	PF00591
PF17781	PF18051
PF01716	PF06514
PF00134	PF00134
PF06372	PF11095
PF00070	PF00071
PF03739	PF03739
PF16874	PF16874
PF02140	PF02191
PF03153	PF05390
PF03502	PF03502
PF04099	PF04628
PF01061	PF01061
