domain_1	domain_2
PF00097	PF01363
PF00271	PF13959
PF02996	PF00091
PF17781	PF18051
PF01392	PF00110
PF00618	PF00018
PF04560	PF00125
PF16172	PF16457
PF01465	PF01465
PF05641	PF18336
PF01505	PF17796
PF00071	PF15277
PF00648	PF00648
PF00400	PF00888
PF05002	PF01023
PF10588	PF04800
PF08767	PF18617
PF06068	PF17856
PF17855	PF14630
PF00189	PF00163
PF08683	PF00091
PF15227	PF00179
PF00017	PF00640
PF02204	PF18151
PF00989	PF02518
PF02268	PF00352
PF13414	PF13432
PF17799	PF17407
PF07034	PF14629
PF00560	PF01582
PF00564	PF00564
PF13499	PF13646
PF00622	PF00400
PF00098	PF00271
PF09060	PF09045
PF05351	PF05351
PF11461	PF00071
PF00673	PF00298
PF00005	PF00005
PF00069	PF00536
PF00012	PF00134
PF00676	PF02779
PF01747	PF14306
PF07221	PF07221
PF00041	PF16649
PF00133	PF08264
PF08005	PF08005
PF07684	PF07684
PF00085	PF07992
PF00002	PF02793
PF02817	PF02817
PF04566	PF04563
PF00047	PF08205
PF00177	PF03297
PF00040	PF00878
PF13637	PF00069
PF05221	PF00670
PF09382	PF00270
PF00022	PF04912
PF13649	PF06325
PF05916	PF05916
PF00125	PF00097
PF01851	PF00240
PF07973	PF07973
PF00788	PF00784
PF05000	PF04983
PF09380	PF09007
PF02793	PF00473
PF00736	PF00009
PF14447	PF00179
PF00121	PF00121
PF01282	PF01599
PF01285	PF00125
PF00160	PF08799
PF03997	PF09454
PF13181	PF00071
PF00439	PF01426
PF00413	PF00045
PF00207	PF07703
PF01749	PF13513
PF00063	PF02205
PF00337	PF00337
PF02935	PF02285
PF00017	PF02189
PF00270	PF13181
PF08815	PF09030
PF01765	PF00679
PF00458	PF00043
PF05291	PF04180
PF14943	PF16053
PF00018	PF00627
PF00149	PF13646
PF04042	PF08996
PF04000	PF08066
PF08709	PF02815
PF13833	PF00748
PF16652	PF00621
PF10597	PF09785
PF01798	PF01423
PF00613	PF00794
PF02219	PF02219
PF00149	PF02985
PF00271	PF04851
PF18386	PF18386
PF00318	PF00338
PF03051	PF03051
PF03129	PF00587
PF01667	PF05470
PF01030	PF07974
PF10557	PF00888
PF04062	PF00022
PF04983	PF01096
PF00089	PF07677
PF03950	PF03129
PF00623	PF04567
PF00004	PF02359
PF00076	PF03939
PF00240	PF00790
PF08912	PF08912
PF02244	PF00089
PF02936	PF02937
PF00171	PF00171
PF12134	PF00400
PF17136	PF04280
PF09457	PF09457
PF00804	PF00168
PF00855	PF00855
PF00498	PF00271
PF00623	PF03871
PF13869	PF13869
PF00476	PF00476
PF16878	PF00702
PF00125	PF01929
PF02878	PF02880
PF00270	PF00098
PF01191	PF03871
PF01193	PF00575
PF04799	PF00350
PF00058	PF00640
PF00318	PF01479
PF00560	PF00069
PF00017	PF00454
PF00129	PF00079
PF16179	PF13857
PF00400	PF01344
PF06218	PF03666
PF00069	PF00063
PF10584	PF17862
PF00004	PF06480
PF01331	PF01331
PF00044	PF00149
PF14670	PF00058
PF00571	PF00478
PF00179	PF07834
